id_estado,estado,id_municipio,municipio,confirmado,muerto,recuperado,activo,sospechoso,negativo,latitud,longitud
7,CHIAPAS,41,LA INDEPENDENCIA,2.0,1.0,0,1.0,0.0,1.0,16.20471182,-91.79580688
7,CHIAPAS,42,IXHUATÁN,0.0,0.0,0,0.0,0.0,1.0,17.2985358,-92.97862931
7,CHIAPAS,48,JUÁREZ,0.0,0.0,0,0.0,0.0,1.0,17.69948407,-93.19333057
7,CHIAPAS,52,LAS MARGARITAS,0.0,0.0,0,0.0,0.0,1.0,16.38571711,-91.74037318
7,CHIAPAS,54,MAZATÁN,0.0,0.0,0,0.0,0.0,1.0,14.88062354,-92.49755997
7,CHIAPAS,55,METAPA,0.0,0.0,0,0.0,0.0,1.0,14.82166505,-92.20159959
7,CHIAPAS,57,MOTOZINTLA,1.0,0.0,0,1.0,0.0,0.0,15.31385328,-92.33146815
7,CHIAPAS,59,OCOSINGO,2.0,0.0,0,2.0,1.0,4.0,16.70258608,-91.33777492
7,CHIAPAS,61,OCOZOCOAUTLA DE ESPINOSA,0.0,0.0,0,0.0,2.0,3.0,16.82819519,-93.49235722
7,CHIAPAS,65,PALENQUE,3.0,0.0,0,3.0,0.0,30.0,17.44434136,-91.81284191
7,CHIAPAS,68,PICHUCALCO,0.0,0.0,0,0.0,0.0,4.0,17.5306182,-93.19914564
7,CHIAPAS,69,PIJIJIAPAN,0.0,0.0,0,0.0,1.0,3.0,15.66963288,-93.19242885
7,CHIAPAS,74,REFORMA,2.0,0.0,0,2.0,2.0,2.0,17.86424401,-93.22938218
7,CHIAPAS,77,SALTO DE AGUA,1.0,0.0,0,1.0,0.0,2.0,17.43770573,-92.18719998
7,CHIAPAS,78,SAN CRISTÓBAL DE LAS CASAS,8.0,0.0,0,8.0,5.0,14.0,16.67831653,-92.58995302
7,CHIAPAS,79,SAN FERNANDO,0.0,0.0,0,0.0,0.0,1.0,16.91315953,-93.20968298
7,CHIAPAS,86,SUCHIAPA,1.0,0.0,0,1.0,0.0,4.0,16.58556264,-93.13633115
7,CHIAPAS,87,SUCHIATE,0.0,0.0,0,0.0,0.0,1.0,14.63939697,-92.22711887
7,CHIAPAS,89,TAPACHULA,5.0,1.0,0,4.0,12.0,22.0,14.93415634,-92.30477392
7,CHIAPAS,92,TECPATÁN,0.0,0.0,0,0.0,0.0,1.0,17.19830001,-93.53320334
7,CHIAPAS,93,TENEJAPA,0.0,0.0,0,0.0,0.0,1.0,16.83320396,-92.47200755
7,CHIAPAS,94,TEOPISCA,1.0,0.0,0,1.0,0.0,2.0,16.56111883,-92.50881009999999
7,CHIAPAS,97,TONALÁ,1.0,1.0,0,0.0,2.0,5.0,15.99708467,-93.69058159
7,CHIAPAS,99,LA TRINITARIA,0.0,0.0,0,0.0,0.0,2.0,16.0245063,-91.89937009
7,CHIAPAS,100,TUMBALÁ,3.0,0.0,0,3.0,0.0,0.0,17.30080442,-92.26963239
7,CHIAPAS,101,TUXTLA GUTIÉRREZ,23.0,0.0,0,23.0,18.0,125.0,16.73946404,-93.13728338
7,CHIAPAS,102,TUXTLA CHICO,0.0,0.0,0,0.0,0.0,3.0,14.89412429,-92.19867573
7,CHIAPAS,103,TUZANTÁN,0.0,0.0,0,0.0,1.0,0.0,15.14045743,-92.41156139
