,confirmado,negativo,sospechoso,muerto,recuperado,activo,estado,municipio,id_estado,id_municipio,entidad_qa,municipio_qa,id_estado,estado,id_municipio,municipio,confirmado,muerto,recuperado,activo,sospechoso,negativo,latitud,longitud
"(5, 16)",0,4,0,0,0,0,COAHUILA DE ZARAGOZA,LAMADRID,5,16,V,V,5,COAHUILA DE ZARAGOZA,16,LAMADRID,0,0,0,0,0,4,27.15060824,-101.9137353
"(5, 17)",11,73,6,1,0,10,COAHUILA DE ZARAGOZA,MATAMOROS,5,17,V,V,5,COAHUILA DE ZARAGOZA,17,MATAMOROS,11,1,0,10,6,73,25.55993538,-103.21507
"(5, 18)",147,483,39,19,0,128,COAHUILA DE ZARAGOZA,MONCLOVA,5,18,V,V,5,COAHUILA DE ZARAGOZA,18,MONCLOVA,147,19,0,128,39,483,26.89692872,-101.194412
"(5, 19)",1,4,0,0,0,1,COAHUILA DE ZARAGOZA,MORELOS,5,19,V,V,5,COAHUILA DE ZARAGOZA,19,MORELOS,1,0,0,1,0,4,28.3277876,-101.0833085
"(5, 20)",1,28,2,1,0,0,COAHUILA DE ZARAGOZA,MÚZQUIZ,5,20,V,V,5,COAHUILA DE ZARAGOZA,20,MÚZQUIZ,1,1,0,0,2,28,28.40482428,-101.901284
"(5, 21)",1,7,0,0,0,1,COAHUILA DE ZARAGOZA,NADADORES,5,21,V,V,5,COAHUILA DE ZARAGOZA,21,NADADORES,1,0,0,1,0,7,27.22803262,-101.7655534
"(5, 22)",0,8,1,0,0,0,COAHUILA DE ZARAGOZA,NAVA,5,22,V,V,5,COAHUILA DE ZARAGOZA,22,NAVA,0,0,0,0,1,8,28.49651834,-100.6204703
"(5, 23)",0,1,1,0,0,0,COAHUILA DE ZARAGOZA,OCAMPO,5,23,V,V,5,COAHUILA DE ZARAGOZA,23,OCAMPO,0,0,0,0,1,1,27.97035913,-102.8932024
"(5, 24)",0,4,0,0,0,0,COAHUILA DE ZARAGOZA,PARRAS,5,24,V,V,5,COAHUILA DE ZARAGOZA,24,PARRAS,0,0,0,0,0,4,25.5052347,-102.1148594
"(5, 25)",16,199,22,0,0,16,COAHUILA DE ZARAGOZA,PIEDRAS NEGRAS,5,25,V,V,5,COAHUILA DE ZARAGOZA,25,PIEDRAS NEGRAS,16,0,0,16,22,199,28.77991609,-100.6145057
"(5, 27)",5,31,4,0,0,5,COAHUILA DE ZARAGOZA,RAMOS ARIZPE,5,27,V,V,5,COAHUILA DE ZARAGOZA,27,RAMOS ARIZPE,5,0,0,5,4,31,25.91436164,-101.2823599
"(5, 28)",1,52,3,0,0,1,COAHUILA DE ZARAGOZA,SABINAS,5,28,V,V,5,COAHUILA DE ZARAGOZA,28,SABINAS,1,0,0,1,3,52,27.92330081,-101.1430313
"(5, 29)",2,12,2,1,0,1,COAHUILA DE ZARAGOZA,SACRAMENTO,5,29,V,V,5,COAHUILA DE ZARAGOZA,29,SACRAMENTO,2,1,0,1,2,12,26.93986293,-101.7564982
"(5, 30)",27,439,70,1,0,26,COAHUILA DE ZARAGOZA,SALTILLO,5,30,V,V,5,COAHUILA DE ZARAGOZA,30,SALTILLO,27,1,0,26,70,439,25.02983185,-101.1251548
